x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
11.120488,9.594162,2021,E07000208,Epsom and Ewell,80937,9233,1569,3550,64312,2273,64607,41717,39910,1807,22890
5.482944,10.729318,2021,E07000209,Guildford,143647,9630,2150,4386,124788,2693,119356,73429,69774,3655,45927
11.468246,9.90551,2021,E07000210,Mole Valley,87387,2637,706,2194,81046,804,72339,44028,42342,1686,28311
5.3540907,10.581823,2021,E07000211,Reigate and Banstead,150846,11383,4415,5541,127334,2173,120127,78471,75124,3347,41656
11.00458,9.612636,2021,E07000212,Runnymede,88079,8140,1591,3113,73557,1678,72719,45103,42456,2647,27616
10.40382,9.315134,2021,E07000213,Spelthorne,102960,13146,2548,3763,81000,2503,83363,54555,51540,3015,28808
11.062251,9.648424,2021,E07000214,Surrey Heath,90456,8057,1428,2460,76901,1610,73785,47447,45364,2083,26338
11.210436,9.787921,2021,E07000215,Tandridge,87877,3271,1929,3331,78584,762,70827,44452,42576,1876,26375
7.723147,11.671371,2021,E07000216,Waverley,128226,3625,887,2846,120088,780,103639,63121,60725,2396,40518
10.53154,9.390654,2021,E07000217,Woking,103943,14741,1879,3614,81529,2180,82984,55238,52744,2494,27746
13.892769,8.779941,2021,E07000218,North Warwickshire,65036,844,364,1113,62514,201,53898,33210,31754,1456,20688
7.257497,11.538105,2021,E07000219,Nuneaton and Bedworth,134198,10782,2446,2449,116939,1582,108590,66590,63115,3475,42000
8.861728,10.736547,2021,E07000220,Rugby,114363,8728,3110,3202,98013,1310,92188,60387,58107,2280,31801
6.9333816,12.205001,2021,E07000221,Stratford-on-Avon,134724,2566,482,2288,128672,716,112639,68512,66236,2276,44127
5.323906,10.658589,2021,E07000222,Warwick,148454,14403,1616,4479,125534,2422,123254,76199,72748,3451,47055
14.097217,8.672639,2021,E07000223,Adur,64543,1395,530,1627,60294,697,52954,31271,29825,1446,21683
4.3624167,12.433198,2021,E07000224,Arun,164887,2630,857,2484,158002,914,139553,76832,73190,3642,62721
8.177854,12.266701,2021,E07000225,Chichester,124071,2168,783,2047,118404,669,104709,59081,56365,2716,45628
10.038019,9.160226,2021,E07000226,Crawley,118492,18236,5331,4838,86939,3148,93567,63548,58899,4649,30019
5.269675,11.646279,2021,E07000227,Horsham,146776,3974,1312,3130,137442,918,120663,75077,72167,2910,45586
5.050747,11.313746,2021,E07000228,Mid Sussex,152566,5505,1337,3827,140724,1173,123317,79510,76573,2937,43807
9.013438,10.881553,2021,E07000229,Worthing,111338,4387,1281,2854,101709,1107,92355,56302,53557,2745,36053
10.795724,10.680405,2021,E07000234,Bromsgrove,99183,3159,766,2414,92309,535,81102,49278,47288,1990,31824
12.330826,9.929032,2021,E07000235,Malvern Hills,79487,1051,262,1119,76779,276,67122,37354,35802,1552,29768
11.443751,9.856676,2021,E07000236,Redditch,87034,4995,1054,2283,78173,529,70250,44849,42692,2157,25401
9.988657,10.743421,2021,E07000237,Worcester,103869,5860,1212,2283,93478,1036,85605,54601,51627,2974,31004
7.072166,12.356786,2021,E07000238,Wychavon,132495,1510,461,1600,128325,599,110717,66063,63660,2403,44654
10.702308,11.256884,2021,E07000239,Wyre Forest,101609,1939,395,1470,97423,382,84565,48237,45789,2448,36328
5.3928075,10.442836,2021,E07000240,St Albans,148169,12176,3159,6354,123865,2615,116090,75854,72870,2984,40236
9.930788,9.180624,2021,E07000241,Welwyn Hatfield,119835,10595,7307,4931,94298,2704,97484,61950,58149,3801,35534
5.134343,11.29322,2021,E07000242,East Hertfordshire,150159,4019,1951,4245,138587,1357,121151,79595,76526,3069,41556
